Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36360368,A Revolução do Algoritmo Mestre - Como a Aprendizagem Automática Está a Mudar o Mundo,Pedro Domingos,"Domingos, Pedro",,"=""9898871180""","=""9789898871183""",0,3.74,Manuscrito Editora,Paperback,360,2017,2015,,2024/08/07,currently-reading,currently-reading (#4),currently-reading,,,,1,0
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",0,4.16,Oxford University Press,Paperback,360,2006,1976,,2024/04/25,,,read,,,,1,0
5932,Twenty Love Poems and a Song of Despair,Pablo Neruda,"Neruda, Pablo","W.S. Merwin, Cristina García","=""0143039962""","=""9780143039969""",0,4.21,Penguin Classics,Paperback,60,2006,1924,2024/08/02,2024/03/25,,,read,,,,1,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,"=""110114646X""","=""9781101146460""",4,3.89,Ace,Kindle Edition,288,2007,1984,2024/07/24,2024/03/09,,,read,,,,1,0
12974839,Red-Blooded Risk: The Secret History of Wall Street,Aaron Brown,"Brown, Aaron",Eric Kim,"=""""","=""""",0,3.89,,Kindle Edition,532,,2011,,2024/07/24,to-read,to-read (#71),to-read,,,,0,0
102439,Rainbows End,Vernor Vinge,"Vinge, Vernor",,"=""0812536363""","=""9780812536362""",0,3.77,Tor Science Fiction,Mass Market Paperback,381,2007,2006,,2024/07/23,to-read,to-read (#70),to-read,,,,0,0
226004,"A Deepness in the Sky (Zones of Thought, #2)",Vernor Vinge,"Vinge, Vernor",,"=""0812536355""","=""9780812536355""",0,4.32,Tor Science Fiction,Mass Market Paperback,775,2000,1999,,2024/07/23,to-read,to-read (#69),to-read,,,,0,0
188543465,The Trading Game: A Confession,Gary  Stevenson,"Stevenson, Gary",,"=""0593727215""","=""9780593727218""",0,4.22,Crown Currency,Hardcover,352,2024,,,2024/07/23,to-read,to-read (#68),to-read,,,,0,0
42818098,The Laws of Trading: A Trader's Guide to Better Decision-Making for Everyone (Wiley Trading),Agustin Lebron,"Lebron, Agustin",,"=""1119574218""","=""9781119574217""",0,4.04,Wiley,Hardcover,304,2019,,,2024/07/23,to-read,to-read (#67),to-read,,,,0,0
24213,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","John Tenniel, Martin Gardner","=""""","=""""",0,4.06,Penguin Group (USA),Paperback,239,2000,1871,,2024/07/11,to-read,to-read (#66),to-read,,,,0,0
40201522,How to Apply for the MEXT Scholarship (Mastering the MEXT Scholarship: The TranSenz Guide Book 4),Travis Senzaki,"Senzaki, Travis",,"=""""","=""""",0,3.83,,Kindle Edition,263,2018,,,2024/07/11,,,read,,,,1,0
6336453,"Howl, Kaddish and Other Poems",Allen Ginsberg,"Ginsberg, Allen",,"=""0141190167""","=""9780141190167""",0,3.99,Penguin Classics,Paperback,119,2009,1956,,2024/06/27,,,read,,,,1,0
192221,How to Solve It: A New Aspect of Mathematical Method (Princeton Science Library),G. Pólya,"Pólya, G.",John H. Conway,"=""069111966X""","=""9780691119663""",0,4.13,Princeton University Press,Paperback,288,2015,1944,,2024/03/09,currently-reading,currently-reading (#3),currently-reading,,,,1,0
